Date,MMAX,AAPL,AMZN,GOOGL,MCD,GM,TSLA,PFE,SBUX,TWTR,VZ,WYNN,KHC,JNJ,HST,HLT,FDX,DPZ,SP500,DJIA,VIXCLS,DEXJPUS,DEXUSUK,DEXUSEU
46,24.90651321,37.98209,47.26300049,930.5,140.9915771,31.80866623,69.61000061,26.59956551,49.39939499,16.64999962,39.42089844,126.3978806,66.28357697,116.1859207,15.46651077,62.29049683,195.6804962,170.7277222,2443.05,21813.67,11.28,109.24,1.2873,1.1874
47,25.09779167,38.36461639,47.30099869,928.1300049,141.7461548,31.72824669,69.13200378,26.66330338,49.43574905,16.77000046,39.36420822,125.6938324,65.91442871,116.2389069,15.31795979,61.98630142,196.6977081,170.7563477,2444.24,21808.4,11.32,109.22,1.2927,1.1973
48,25.06591606,38.70675659,47.70299911,935.75,141.4886932,31.73718452,69.47200012,26.68719864,49.16312027,16.93000031,39.2832222,126.961113,65.35270691,116.6535873,15.44903564,61.71154785,199.0147095,170.3933563,2446.3,21865.37,11.7,109.02,1.2937,1.2025
49,25.10576248,38.811306,48.37950134,943.6300049,142.4620667,32.00523376,70.63600159,26.64736748,49.54479218,16.93000031,38.96740341,127.7590027,65.7459259,115.647728,15.74613094,63.11475372,201.3504639,170.9187317,2457.59,21892.43,11.22,110.2,1.2934,1.1927
50,25.12967682,38.96573639,49.02999878,955.2399902,142.8549957,32.64856339,71.18000031,27.02178383,49.85376358,16.90999985,38.84594345,130.4718933,64.79901123,116.794754,15.83350754,63.12456131,201.9156189,174.0996552,2471.65,21948.1,10.59,110.06,1.2888,1.1894
51,25.34486389,38.97760391,48.91249847,951.9899902,142.7120972,33.38122559,71.08000183,27.05365372,49.91737747,16.86000061,38.80544662,134.6304016,64.87928009,115.6124115,15.85098648,63.37968826,202.5466461,175.3701324,2476.55,21987.56,10.13,110.09,1.2972,1.1878
52,26.10202408,38.509552,48.26350021,941.4799805,142.0780792,33.26507187,69.91799927,26.92618752,50.09912872,16.64999962,38.35196686,133.7667694,65.11999512,114.6153641,15.39660263,62.40824509,200.8607025,174.3289032,2457.85,21753.31,12.23,108.94,1.3013,1.1911
53,26.1339016,38.46915817,48.38999939,942.0200195,141.2922363,33.65821457,68.90599823,27.07754898,49.35395432,16.82999992,37.98756409,134.5928802,65.26446533,115.2947693,15.71117401,62.47693253,199.5892181,174.453064,2465.54,21807.64,11.63,108.75,1.3073,1.1943
54,25.77524948,38.31470871,48.9734993,949.8900146,142.7924805,33.31522751,70.12200165,27.07754898,48.59061432,17.21999931,37.41260529,136.8176117,65.36877441,116.6359253,15.67622375,62.69281006,201.2374268,175.1121979,2465.1,21784.78,11.55,108.26,1.3094,1.2028
55,25.49629593,37.68983841,48.29499817,941.4099731,142.6227875,33.39646149,68.68000031,27.1651783,48.60877609,17.45000076,37.33972168,135.5785065,65.5774231,115.5682983,15.85972691,63.91939545,198.7073517,178.0829773,2461.43,21797.79,12.12,107.72,1.3211,1.2041
56,24.6674099,38.37173843,48.89799881,943.289978,144.2480927,33.71237183,72.73799896,27.34043884,49.09041977,17.65999985,37.49358368,136.9584045,66.24346161,117.5359039,15.91214943,64.71420288,200.519928,180.5569611,2488.11,22057.37,10.73,109.03,1.3173,1.1964
57,25.41659737,38.21967697,49.12900162,946.6500244,139.6044464,34.19977951,72.55000305,28.17690468,48.65422058,18.17000008,37.89038086,136.9771729,65.94654083,117.0241394,16.06070137,64.83195496,203.4843292,181.416687,2496.48,22118.86,10.58,110.01,1.328,1.1968
58,26.1259346,37.93218994,49.97999954,950.4400024,140.202774,34.48860931,73.2460022,27.92994499,49.3357811,18.20000076,38.26288223,136.5547791,65.72987366,116.8653259,16.11313248,65.4305191,202.9745331,180.1080627,2498.37,22158.18,10.5,110.58,1.3218,1.1898
59,26.02232361,37.60668182,49.61050034,940.1300049,140.202774,35.01213074,75.52799988,28.46368217,49.55387115,18.20999908,38.20620346,135.2687378,65.22434235,118.3917694,15.96458244,65.27352142,202.5213623,181.8507996,2495.62,22203.48,10.44,110.66,1.3398,1.1886
60,26.73962975,37.98683548,49.33950043,935.289978,140.1312714,35.0933609,75.96199799,28.16893578,49.68109894,18.01000023,38.75685883,134.4426727,65.34468079,118.6299896,15.94710159,65.3814621,202.8140564,186.4183807,2500.23,22268.34,10.17,110.84,1.3578,1.1959
61,26.71572495,37.69934464,48.70949936,929.75,139.9169769,34.83161163,77,28.32029724,49.69927597,17.60000038,38.94311142,135.0246582,65.32062531,119.4505692,15.99953175,65.31277466,203.0500488,187.3184814,2503.87,22331.35,10.15,111.48,1.3485,1.1938
62,26.13900948,37.71360016,48.49300003,936.8599854,140.5867615,34.93088913,75.01999664,28.2406311,49.63566971,17.76000023,39.95536804,138.0003815,64.86322784,119.3093948,16.02574921,65.63658905,203.9186096,187.6153107,2506.65,22370.8,10.18,111.49,1.3517,1.198
63,26.30146217,37.08159637,48.66049957,947.539978,142.7746124,35.0933609,74.78199768,28.67081833,50.11729813,17.62000084,40.0687294,136.7612762,64.09286499,117.5447235,16.13060379,65.78378296,208.1669159,189.1953278,2508.24,22412.59,9.78,111.5,1.3564,1.1998
64,26.57763672,36.44483948,48.23249817,947.5499878,142.0155487,35.29193115,73.29599762,28.65488243,49.99007416,17.57999992,39.63143921,136.4890747,63.40272141,116.2477036,15.98205853,66.07816315,206.5903473,189.6357727,2500.6,22359.23,9.67,112.3,1.3576,1.1946
65,27.26806641,36.08844757,47.75500107,943.2600098,141.9083862,35.58076096,70.21800232,28.64691734,50.06278229,17.61000061,40.40885544,136.0290833,62.20705032,115.9300613,16.01700783,66.91223907,207.69487,188.8409882,2502.22,22349.59,9.59,112.01,1.3531,1.1969
66,26.93503571,35.77007294,46.98949814,934.2800293,139.5419312,36.37505722,68.9980011,28.28843117,49.93555069,16.97999954,40.40885544,132.4807281,62.92928696,115.7359619,16.04322624,67.42248535,206.9396057,185.211853,2496.66,22296.09,10.21,111.64,1.3457,1.1852
67,26.69947052,36.38544464,46.93000031,937.4299927,136.9432526,36.3389473,69.05000305,28.12114143,50.09912872,16.59000015,40.09302902,135.7568512,63.06570053,115.5330124,16.16555786,68.19770813,207.5154724,185.1064911,2496.84,22284.32,10.17,112.16,1.3422,1.1772
68,26.9512825,36.64441681,47.54349899,959.9000244,137.5683594,36.62779999,68.19400024,28.2406311,49.97189331,16.95000076,40.09302902,136.3764038,62.77680969,114.4830093,16.20051384,67.81500244,207.69487,188.4867249,2507.04,22340.71,9.87,112.76,1.3401,1.1747
69,26.78882599,36.41870117,47.81999969,964.8099976,140.6403656,36.62779999,67.91999817,28.3601265,49.52661896,16.85000038,40.01205826,135.5315552,62.56818771,114.2359772,16.33301163,68.06032562,211.7166138,188.6782379,2510.06,22381.2,9.55,112.66,1.3435,1.1776
70,26.9431572,36.6182785,48.06750107,973.7199707,139.9169769,36.44727325,68.22000122,28.43979263,48.80870056,16.87000084,40.076828,139.7933197,62.23112869,114.7124252,16.33301163,68.14862061,212.9627533,190.1241608,2519.36,22405.09,9.51,112.64,1.3402,1.1813
71,27.77979851,36.54462433,47.95949936,967.4699707,140.1670227,38.04488373,68.30599976,28.73454285,48.89958572,17.09000015,39.9715538,138.0567017,62.47187805,115.7800674,16.28001022,68.12899017,213.6708679,191.5030212,2529.12,22557.6,9.45,112.6,1.3268,1.1745
72,27.65795898,36.70381165,47.85499954,972.0800171,140.077713,39.21827316,69.62799835,28.79030991,49.06315613,17.59000015,40.3683548,138.07547,62.44779205,116.5565109,16.1121769,67.56967926,210.5270844,194.2033386,2534.58,22641.67,9.51,112.8,1.3251,1.1759
73,27.60109901,36.46621704,48.27249908,966.7800293,140.3902893,39.51613235,71.0019989,28.64691734,49.00863647,17.75,40.40885544,137.9628448,62.4076767,117.2535553,16.07684326,67.6187439,208.94104,193.0830231,2537.74,22661.64,9.63,112.84,1.3268,1.176
74,27.69857216,36.92001724,49.04249954,985.1900024,141.8101959,39.57931519,71.06600189,28.67878342,49.61748505,18.25,40.30356979,137.9534302,62.79285049,117.5182724,16.18284607,68.07012177,209.2148132,197.2771759,2552.07,22775.39,9.19,112.74,1.3132,1.1706
75,27.44676399,36.89865112,49.47900009,993.6400146,142.5246124,40.55413055,71.37599945,28.71861839,50.13547516,17.85000038,40.00034714,135.1185303,62.73669052,117.5447235,16.20051193,68.1780777,208.4501343,196.6738739,2549.33,22773.67,9.65,112.68,1.3063,1.1732
76,27.49550056,37.02693939,49.54949951,992.3099976,142.9889526,40.91517639,68.58799744,28.79030991,49.99916458,17.67000008,40.19703293,134.5834656,62.05458832,117.7476578,16.24467659,68.35469818,208.2990875,197.0664978,2544.73,22761.07,10.33,0,0,0
77,27.41427994,37.04120636,49.36000061,987.7999878,143.3997498,40.80685806,71.11799622,28.99743271,50.36265564,17.40999985,40.2707901,133.804306,62.70459747,118.1447296,16.38601303,68.6098175,208.4312744,200.5520172,2550.64,22830.68,10.08,112.15,1.3215,1.1804
78,27.21120453,37.19564438,49.75,1005.650024,145.6947784,41.04153824,70.91999817,29.03726196,50.56257629,17.72999954,40.04132843,134.4896088,62.74469757,120.571167,16.49201775,68.90419769,210.2249908,200.3605347,2555.24,22872.89,9.85,112.35,1.321,1.1847
79,27.3086834,37.06496811,50.04650116,1005.650024,146.3734589,40.51803207,71.13600159,28.95760345,50.86246872,18.45000076,39.62337875,132.1334229,62.71262741,120.7299652,17.13685608,69.06118774,212.4718475,192.4989166,2550.93,22841.01,9.91,112.38,1.3174,1.184
80,27.94225502,37.30018234,50.14699936,1007.869995,147.6772919,41.41160202,71.11399841,28.94963455,50.63528824,18.62999916,39.2218132,133.6072235,62.38359451,120.3770218,17.23402405,69.82658386,209.7907257,184.7905121,2553.17,22871.72,9.61,111.94,1.3304,1.1837
81,28.01536369,37.98683548,50.31700134,1009.349976,147.3557587,41.30329132,70.12000275,28.66284752,49.89920807,18.32999992,39.41030502,137.8126526,62.31138611,120.1035156,17.13685608,69.79715729,208.9693756,184.9916229,2557.64,22956.96,9.91,111.72,1.3285,1.181
82,27.58485413,38.12701416,50.45650101,1011,147.70401,40.63536835,71.15000153,28.83810997,49.53570175,18.28000069,39.66435242,137.4277802,62.22311401,124.223999,17.08385468,69.8854599,207.7892914,184.1107025,2559.36,22997.44,10.31,112.32,1.3182,1.1754
83,27.82853508,37.95832825,49.84999847,1012.73999,148.0344543,40.72562408,71.93000031,28.54335403,50.17182541,18.02000046,39.86923599,136.4233246,61.87001801,124.126915,17.53436089,69.72845459,209.8662109,179.8207703,2561.26,23157.6,10.07,112.94,1.3183,1.1775
84,27.89351845,37.06020737,49.33050156,1001.840027,148.6863708,40.93321991,70.36199951,28.86997223,50.34448242,17.88999939,40.32816696,136.6110992,61.36446762,125.3269272,17.51669502,69.76770782,211.4427948,178.2216339,2562.1,23163.04,10.05,112.54,1.3181,1.1842
85,28.38088608,37.12436295,49.14550018,1005.070007,148.5077209,41.1679039,69.01999664,29.01337242,49.59022522,17.87000084,40.59040833,135.5878906,61.55706406,125.6445541,17.18985367,69.70883942,212.4812775,178.2120361,2575.21,23328.63,9.97,113.5,1.3179,1.177
86,31.96301842,37.10535431,48.31499863,985.539978,145.8644104,40.75270462,67.40399933,28.99743271,49.31759644,17.37000084,40.1478653,135.8882599,61.83791733,126.7210159,17.07502365,69.10045624,212.7362061,174.8797302,2564.98,23273.96,11.07,113.66,1.3201,1.1762
87,31.54875565,37.32631302,48.79499817,988.4899902,146.3466644,41.95316696,67.46800232,28.89386749,49.3266983,17.25,40.10689163,136.0290833,61.96631622,124.9740143,17.36652565,69.80695343,213.2082367,176.0384064,2569.13,23441.76,11.16,113.92,1.3124,1.1766
88,30.9882946,37.16236877,48.64550018,991.460022,146.0787659,40.72562408,65.16799927,28.80623627,49.21764755,17.13999939,39.86103439,134.7148895,62.05458832,125.6092987,17.0926857,69.98358154,212.8872528,177.8673553,2557.15,23329.46,11.23,113.7,1.3252,1.1802
89,31.01265717,37.39997101,48.62149811,991.4199829,146.4627686,40.84296036,65.23400116,28.47165298,49.89920807,20.30999947,40.06591034,136.432724,62.03053284,125.1239929,17.13685608,71.12185669,216.229248,177.8003235,2560.4,23400.86,11.3,113.72,1.3181,1.17
90,29.97294998,38.74001694,55.04750061,1033.670044,147.6951294,40.29237747,64.1740036,28.3601265,49.8719368,21.68000031,40.0495224,134.3769379,62.03053284,125.0975342,17.17218971,70.56253052,217.5792389,176.8427277,2581.07,23434.19,9.8,113.82,1.3108,1.158
91,29.79424477,39.61198807,55.54249954,1033.130005,148.4452362,39.14606094,64.01599884,28.00164795,50.13547516,21.25,39.19723129,132.5558472,60.40151596,123.5269623,17.04852104,71.28865814,214.9830322,173.9891968,2572.83,23348.74,10.5,113.26,1.3195,1.1626
